No.,Map,Points,CountOfUnfinishedTees,MedianTime(min)
797,Endgame,18,135,50.94
798,Zephronikon,16,135,58.27
799,DarkRoad,15,135,34.41
800,Plocky,8,134,2.49
801,Highlife,24,134,18.62
802,Caldera 2,24,132,55.53
803,Binary,34,132,249.87
804,Valley,27,131,64.66
805,run_4xerhul2,8,131,52.55
806,Verification 3.8,12,131,1.83
807,Ephemeral,8,131,1.23
808,complic,21,130,13.41
809,AIB Quest 2,12,130,21.29
810,SkyIsland,16,130,55.21
811,DarkCore 2,12,129,26.93
812,Time Eater,21,129,47.74
813,Destiny 1,24,128,81.55
814,Destiny 2,24,128,58.36
815,Duodecimo,12,128,22.29
816,Rockstar,27,128,150.94
817,Sunburst,16,128,2.28
818,Beachmap,16,128,83.43
819,Elo-Hell,16,128,14.06
820,Difficult 1.2,16,127,61.89
821,Dry Valley,27,127,78.59
822,Dels 3,16,127,61.74
